time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1748	1.32354	5.18267	0.207222	0.162741	radar	4.88465	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4004	1.40612	5.15272	0.228914	0.177861	lidar	1.39184	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6344	1.48552	5.07438	0.248935	0.191741	radar	4.24552	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8603	1.52326	5.04444	0.248869	0.181613	lidar	1.15424	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1249	1.57372	5.08089	0.250742	0.173099	radar	1.76469	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4026	1.6257	5.11764	0.252001	0.16461	lidar	1.78571	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6347	1.68203	5.07415	0.258549	0.163578	radar	0.890563	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8647	1.7498	5.05657	0.268728	0.165942	lidar	0.384694	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1199	1.83649	5.10594	0.282808	0.171225	radar	1.4399	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3617	1.87224	5.09062	0.27654	0.155139	lidar	0.566196	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6166	1.93351	5.13042	0.278542	0.14777	radar	0.947309	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.818	2.06404	5.09631	0.314489	0.179304	lidar	3.54893	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0836	2.16793	5.17911	0.329082	0.183269	radar	3.61318	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2876	2.30703	5.15084	0.364643	0.212404	lidar	2.82586	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4714	2.44297	5.04642	0.401967	0.245299	radar	11.2547	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7199	2.56338	5.07586	0.420526	0.251906	lidar	0.910658	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9406	2.67297	5.0544	0.43703	0.257118	radar	0.269977	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1691	2.82847	5.0781	0.468762	0.277441	lidar	0.888759	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4178	2.93711	5.13812	0.47346	0.264125	radar	1.40106	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6232	3.01806	5.09175	0.474897	0.25185	lidar	2.04976	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8546	3.16659	5.14439	0.496556	0.25922	radar	3.97791	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0623	3.35822	5.16467	0.538588	0.290525	lidar	1.51312	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2753	3.51888	5.15061	0.566842	0.307618	radar	2.70689	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4884	3.70873	5.18014	0.601774	0.328405	lidar	0.965477	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7004	3.84171	5.16698	0.612718	0.322911	radar	0.871361	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9204	3.99132	5.17763	0.626841	0.320597	lidar	0.17415	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1176	4.15167	5.13415	0.651779	0.334862	radar	1.85907	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3149	4.34886	5.15934	0.683972	0.351135	lidar	0.589215	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.525	4.51155	5.1742	0.697928	0.346534	radar	0.601216	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7027	4.68394	5.15884	0.720686	0.352549	lidar	0.519144	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8589	4.87265	5.07063	0.761127	0.387456	radar	4.91199	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0241	5.09872	5.09807	0.800974	0.408954	lidar	0.864956	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1943	5.26872	5.0635	0.820348	0.411003	radar	1.74372	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3534	5.4541	5.05151	0.843083	0.413499	lidar	0.230925	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
