time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446850000	18.493	6.73082	4.83727	0.943485	0.395615	radar	0.567242	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446950000	18.7885	7.12576	4.86056	0.972503	0.381802	radar	0.374596	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447050000	18.9625	7.56385	4.81194	1.04523	0.418423	radar	3.75665	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447150000	19.2243	7.92728	4.7952	1.06923	0.404434	radar	0.299012	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447250000	19.4184	8.33161	4.78285	1.10605	0.397654	radar	2.37541	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447350000	19.6201	8.71872	4.74197	1.14741	0.406981	radar	0.728917	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447450000	19.7531	9.21932	4.75547	1.21408	0.430241	radar	0.656059	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447550000	19.8393	9.71321	4.75075	1.28804	0.461623	radar	1.2809	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447650000	19.8876	10.3477	4.86243	1.3525	0.453651	radar	5.69815	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447750000	19.9217	10.8469	4.85856	1.42115	0.477439	radar	1.12743	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447850000	19.9326	11.4493	4.93733	1.4773	0.467282	radar	2.91149	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447950000	19.8052	12.0349	4.96704	1.588	0.530903	radar	5.76176	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448050000	19.8952	12.4187	4.90315	1.58431	0.469652	radar	4.23978	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448150000	19.851	12.872	4.86962	1.65358	0.505484	radar	2.0764	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448250000	19.9374	13.2136	4.77781	1.67504	0.496361	radar	5.17233	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448350000	19.8821	13.669	4.76675	1.72023	0.491039	radar	0.196812	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448450000	19.8482	14.0643	4.714	1.76817	0.50384	radar	1.5446	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448550000	19.7331	14.5132	4.70744	1.82214	0.508037	radar	0.182133	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448650000	19.6828	14.8574	4.62893	1.8556	0.497713	radar	2.16558	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448750000	19.506	15.2863	4.6241	1.95419	0.577506	radar	11.0631	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448850000	19.4	15.6341	4.56382	1.99847	0.571877	radar	1.28916	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.2178	16.0404	4.55452	2.04135	0.550641	radar	0.625615	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.0353	16.4164	4.53534	2.09671	0.558845	radar	0.828001	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449150000	18.7349	16.8779	4.61185	2.18913	0.613965	radar	9.90917	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449250000	18.5652	17.2232	4.54793	2.20257	0.551273	radar	4.67502	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449350000	18.3098	17.5812	4.53439	2.24102	0.526043	radar	0.939842	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
