time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446800000	18.3543	6.60016	5.12023	0.93547	0.38574	lidar	1.52318	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446900000	18.6293	6.94677	5.02308	0.960434	0.372383	lidar	2.55165	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010447000000	18.989	7.30025	5.02602	0.955395	0.32753	lidar	2.55292	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447100000	19.1858	7.77073	5.01332	1.03079	0.372819	lidar	2.64612	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447200000	19.3445	8.19636	4.92626	1.09643	0.403696	lidar	3.0929	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447300000	19.5073	8.55479	4.78174	1.13572	0.404139	lidar	5.15861	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447400000	19.799	8.95238	4.80522	1.13143	0.356752	lidar	3.04743	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447500000	20.044	9.40319	4.85569	1.15173	0.340066	lidar	0.990069	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447600000	20.2072	9.86824	4.86267	1.19954	0.354511	lidar	0.276291	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447700000	20.303	10.37	4.87906	1.27167	0.392847	lidar	1.91009	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447800000	20.4102	10.8863	4.92859	1.32987	0.412171	lidar	1.07111	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447900000	20.4519	11.3677	4.89785	1.39782	0.440513	lidar	1.22757	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010448000000	20.5526	11.8725	4.93892	1.43346	0.431179	lidar	0.523877	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448100000	20.5113	12.4031	4.96263	1.52183	0.478178	lidar	2.888	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448200000	20.5151	12.8974	4.95878	1.57318	0.481928	lidar	0.0209054	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448300000	20.3998	13.3397	4.86444	1.66164	0.525492	lidar	4.50896	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448400000	20.3363	13.8392	4.88876	1.71758	0.528625	lidar	0.161072	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448500000	20.2078	14.3243	4.89572	1.78953	0.548452	lidar	0.510325	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
